Ord;Nome;tipo
1;GEN EX XXXXXXXXXXXXXXXXXXXXXXXX;OFICIAIS GENERAIS
2;GEN DIV XXXXXXXXXXXXXXXXX;OFICIAIS GENERAIS
3;GEN DIV XXXXXXXXXXXXXXXXXXXXXXX;OFICIAIS GENERAIS
4;GEN BDA XXXXXXXXXXXXXXXXXXXXXXXX;OFICIAIS GENERAIS
5;GEN BDA XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;OFICIAIS GENERAIS
6;GEN BDA XXXXXXXXXXXXXXXXXXXXXXXXX;OFICIAIS GENERAIS
7;GEN BDA XXXXXXXXXXXXXXXXXXXXXXXX;OFICIAIS GENERAIS
8;GEN BDA XXXXXXXXXXXXXXXXXXXXXXXXX;OFICIAIS GENERAIS
9;BRIG AR XXXXXXXXXXXXXXXXXXXXXX;OFICIAIS GENERAIS
10;CA XXXXXXXXXXXXXXXXXXXXXXXXXXXX;OFICIAIS GENERAIS
